,enrollee_id,target
0,16548,0
1,12036,0
2,11061,0
3,5032,0
4,17599,0
5,19314,0
6,12365,0
7,22696,0
8,16083,0
9,33240,0
10,813,0
11,1362,0
12,3821,0
13,26316,0
14,29269,0
15,22524,0
16,30407,0
17,863,0
18,27743,0
19,29303,0
20,1019,0
21,8819,0
22,5397,0
23,14697,0
24,10407,0
25,19224,0
26,735,0
27,14106,0
28,858,0
29,9061,0
30,12775,0
31,7964,0
32,30781,0
33,29346,0
34,17991,0
35,15768,0
36,15378,0
37,27248,0
38,5931,0
39,11897,0
40,10606,0
41,28368,0
42,11081,0
43,19611,0
44,1283,0
45,18590,0
46,2076,0
47,19130,0
48,29874,0
49,16387,0
50,22536,0
51,30268,0
52,23258,0
53,14201,0
54,10551,0
55,28787,0
56,23340,0
57,26020,0
58,22989,0
59,14594,0
60,10127,0
61,18684,0
62,20163,0
63,997,0
64,32505,0
65,28948,0
66,19793,0
67,22487,0
68,28765,0
69,28078,0
70,3780,0
71,15396,0
72,31167,0
73,8834,0
74,12051,0
75,29453,0
76,4305,0
77,28298,0
78,33189,0
79,6611,0
80,4763,0
81,11459,0
82,4870,0
83,12630,0
84,29618,0
85,30033,0
86,25404,0
87,5522,0
88,13026,0
89,14788,0
90,8450,0
91,15425,0
92,17221,0
93,32535,0
94,3356,0
95,6938,0
96,25715,0
97,25064,0
98,29805,0
99,20608,0
100,32283,0
101,17793,0
102,1525,0
103,3579,0
104,1704,0
105,16657,0
106,21066,0
107,32817,0
108,24938,0
109,2837,0
110,1157,0
111,33154,0
112,27434,0
113,15056,0
114,2555,0
115,19701,0
116,25529,0
117,17070,0
118,26053,0
119,30684,0
120,2815,0
121,31291,0
122,26903,0
123,32889,0
124,20873,0
125,27921,0
126,16150,0
127,31345,0
128,13375,0
129,12369,0
130,30180,0
131,33355,0
132,2417,0
133,30481,0
134,5540,0
135,32713,0
136,263,0
137,20373,0
138,4991,0
139,24045,0
140,17697,0
141,30866,0
142,12996,0
143,25973,0
144,18035,0
145,8980,0
146,6515,0
